Unnamed: 0,cellID,cellType,sampleInfo,Ontology Id
Cell66,Cell66,Cancer_clone_A,sample1,CL:0000322
Cell67,Cell67,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell68,Cell68,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell69,Cell69,Ductal_MHC_Class_II,sample1,CL:0000151
Cell70,Cell70,Cancer_clone_A,sample1,CL:0000540
Cell71,Cell71,Ductal_MHC_Class_II,sample1,CL:0000151
Cell72,Cell72,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell73,Cell73,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell74,Cell74,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell75,Cell75,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell76,Cell76,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell77,Cell77,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell78,Cell78,Cancer_clone_B,sample1,CL:0000151
Cell79,Cell79,Cancer_clone_B,sample1,CL:0000322
Cell80,Cell80,Ductal_MHC_Class_II,sample1,CL:0000322
Cell81,Cell81,Cancer_clone_A,sample1,CL:0000322
Cell82,Cell82,pDCs,sample1,CL:0000151
Cell83,Cell83,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell84,Cell84,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell85,Cell85,Cancer_clone_A,sample1,CL:0000322
Cell86,Cell86,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell87,Cell87,mDCs_B,sample1,CL:0002150
Cell88,Cell88,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell89,Cell89,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell90,Cell90,Ductal_APOL1_high-hypoxic,sample1,CL:0000064
Cell91,Cell91,Ductal_MHC_Class_II,sample1,CL:0000322
Cell92,Cell92,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell93,Cell93,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell94,Cell94,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell95,Cell95,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell96,Cell96,Endocrine_cells,sample1,CL:0000540
Cell97,Cell97,Endothelial_cells,sample1,CL:0000071
Cell98,Cell98,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell99,Cell99,Ductal_terminal_ductal_like,sample1,CL:0000064
Cell100,Cell100,Ductal_MHC_Class_II,sample1,CL:0000322
Cell101,Cell101,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell102,Cell102,mDCs_A,sample1,CL:0002150
Cell103,Cell103,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell104,Cell104,Ductal_APOL1_high-hypoxic,sample1,CL:0000064
Cell105,Cell105,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell106,Cell106,Cancer_clone_B,sample1,CL:0000322
Cell107,Cell107,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell108,Cell108,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000071
Cell109,Cell109,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell110,Cell110,Ductal_MHC_Class_II,sample1,CL:0000126
Cell111,Cell111,Ductal_MHC_Class_II,sample1,CL:0000322
Cell112,Cell112,Ductal_MHC_Class_II,sample1,CL:0000322
Cell113,Cell113,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell114,Cell114,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell115,Cell115,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell116,Cell116,Ductal_MHC_Class_II,sample1,CL:0000126
Cell117,Cell117,Ductal_MHC_Class_II,sample1,CL:0000151
Cell118,Cell118,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell119,Cell119,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell120,Cell120,Ductal_MHC_Class_II,sample1,CL:0000151
Cell121,Cell121,Ductal_MHC_Class_II,sample1,CL:0000151
Cell122,Cell122,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell123,Cell123,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell124,Cell124,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell125,Cell125,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell126,Cell126,Macrophages_A,sample1,CL:0002150
Cell127,Cell127,mDCs_B,sample1,CL:0002150
Cell128,Cell128,Cancer_clone_B,sample1,CL:0000322
Cell129,Cell129,Ductal_MHC_Class_II,sample1,CL:0000126
Cell130,Cell130,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell131,Cell131,Ductal_MHC_Class_II,sample1,CL:0000151
Cell132,Cell132,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell133,Cell133,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell134,Cell134,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell135,Cell135,Cancer_clone_A,sample1,CL:0000322
Cell136,Cell136,Ductal_terminal_ductal_like,sample1,CL:0000064
Cell137,Cell137,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell138,Cell138,Mast_cells,sample1,CL:0000540
Cell139,Cell139,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell140,Cell140,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell141,Cell141,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000071
Cell142,Cell142,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell143,Cell143,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell144,Cell144,Ductal_APOL1_high-hypoxic,sample1,CL:0000071
Cell145,Cell145,Cancer_clone_A,sample1,CL:0000322
Cell146,Cell146,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell147,Cell147,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell148,Cell148,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell149,Cell149,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell150,Cell150,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell151,Cell151,Cancer_clone_B,sample1,CL:0000322
Cell152,Cell152,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell153,Cell153,Ductal_MHC_Class_II,sample1,CL:0000151
Cell154,Cell154,Mast_cells,sample1,CL:0000126
Cell155,Cell155,Ductal_MHC_Class_II,sample1,CL:0000322
Cell156,Cell156,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell157,Cell157,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell158,Cell158,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell159,Cell159,Ductal_APOL1_high-hypoxic,sample1,CL:0000064
Cell160,Cell160,Ductal_MHC_Class_II,sample1,CL:0000322
Cell161,Cell161,Cancer_clone_B,sample1,CL:0000064
Cell162,Cell162,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell163,Cell163,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell164,Cell164,Cancer_clone_B,sample1,CL:0000322
Cell165,Cell165,Mast_cells,sample1,CL:0000151
Cell166,Cell166,Ductal_MHC_Class_II,sample1,CL:0000322
Cell167,Cell167,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell168,Cell168,Cancer_clone_A,sample1,CL:0000151
Cell169,Cell169,Cancer_clone_B,sample1,CL:0000322
Cell170,Cell170,Ductal_MHC_Class_II,sample1,CL:0000151
Cell171,Cell171,Cancer_clone_B,sample1,CL:0000322
Cell172,Cell172,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell173,Cell173,Cancer_clone_B,sample1,CL:0000322
Cell174,Cell174,mDCs_B,sample1,CL:0002150
Cell175,Cell175,Ductal_MHC_Class_II,sample1,CL:0000322
Cell176,Cell176,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell177,Cell177,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell178,Cell178,Ductal_MHC_Class_II,sample1,CL:0000151
Cell179,Cell179,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell180,Cell180,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell181,Cell181,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell182,Cell182,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell183,Cell183,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell184,Cell184,Ductal_MHC_Class_II,sample1,CL:0000126
Cell185,Cell185,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell186,Cell186,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell187,Cell187,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell188,Cell188,Cancer_clone_B,sample1,CL:0000322
Cell189,Cell189,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell190,Cell190,pDCs,sample1,CL:0002150
Cell191,Cell191,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell192,Cell192,Cancer_clone_B,sample1,CL:0000322
Cell193,Cell193,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell194,Cell194,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell195,Cell195,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell196,Cell196,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell197,Cell197,Cancer_clone_B,sample1,CL:0000322
Cell198,Cell198,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell199,Cell199,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell200,Cell200,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell201,Cell201,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell202,Cell202,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell203,Cell203,Tuft_cells,sample1,CL:0000151
Cell204,Cell204,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell205,Cell205,Ductal_MHC_Class_II,sample1,CL:0000322
Cell206,Cell206,Ductal_APOL1_high-hypoxic,sample1,CL:0000123
Cell207,Cell207,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell208,Cell208,Cancer_clone_A,sample1,CL:0000151
Cell209,Cell209,Macrophages_B,sample1,CL:0002150
Cell210,Cell210,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell211,Cell211,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell212,Cell212,Tuft_cells,sample1,CL:0000540
Cell213,Cell213,Ductal_MHC_Class_II,sample1,CL:0000151
Cell214,Cell214,Macrophages_B,sample1,CL:0002150
Cell215,Cell215,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell216,Cell216,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell217,Cell217,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell218,Cell218,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell219,Cell219,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell220,Cell220,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell221,Cell221,Cancer_clone_A,sample1,CL:0000151
Cell222,Cell222,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell223,Cell223,Macrophages_B,sample1,CL:0002150
Cell224,Cell224,Cancer_clone_A,sample1,CL:0000126
Cell225,Cell225,Ductal_APOL1_high-hypoxic,sample1,CL:0000071
Cell226,Cell226,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell227,Cell227,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell228,Cell228,T_cells_&_NK_cells,sample1,CL:0000151
Cell229,Cell229,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell230,Cell230,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell231,Cell231,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell232,Cell232,Ductal_MHC_Class_II,sample1,CL:0000151
Cell233,Cell233,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell234,Cell234,Cancer_clone_B,sample1,CL:0000322
Cell235,Cell235,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell236,Cell236,Ductal_MHC_Class_II,sample1,CL:0000126
Cell237,Cell237,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell238,Cell238,Ductal_MHC_Class_II,sample1,CL:0000151
Cell239,Cell239,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell240,Cell240,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell241,Cell241,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell242,Cell242,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell243,Cell243,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell244,Cell244,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell245,Cell245,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell246,Cell246,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell247,Cell247,Cancer_clone_A,sample1,CL:0000322
Cell248,Cell248,Cancer_clone_B,sample1,CL:0000322
Cell249,Cell249,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell250,Cell250,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell251,Cell251,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell252,Cell252,Tuft_cells,sample1,CL:0000126
Cell253,Cell253,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell254,Cell254,Ductal_MHC_Class_II,sample1,CL:0000322
Cell255,Cell255,pDCs,sample1,CL:0000123
Cell256,Cell256,Ductal_MHC_Class_II,sample1,CL:0000126
Cell257,Cell257,Cancer_clone_B,sample1,CL:0000126
Cell258,Cell258,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell259,Cell259,Ductal_APOL1_high-hypoxic,sample1,CL:0000126
Cell260,Cell260,Ductal_MHC_Class_II,sample1,CL:0000322
Cell261,Cell261,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell262,Cell262,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell263,Cell263,Endothelial_cells,sample1,CL:0000071
Cell264,Cell264,Ductal_MHC_Class_II,sample1,CL:0000126
Cell265,Cell265,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell266,Cell266,Cancer_clone_B,sample1,CL:0000126
Cell267,Cell267,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell268,Cell268,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell269,Cell269,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell270,Cell270,Ductal_MHC_Class_II,sample1,CL:0000322
Cell271,Cell271,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell272,Cell272,Ductal_MHC_Class_II,sample1,CL:0000126
Cell273,Cell273,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell274,Cell274,Macrophages_B,sample1,CL:0002150
Cell275,Cell275,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell276,Cell276,Cancer_clone_B,sample1,CL:0000151
Cell277,Cell277,Ductal_MHC_Class_II,sample1,CL:0000064
Cell278,Cell278,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell279,Cell279,Ductal_MHC_Class_II,sample1,CL:0000322
Cell280,Cell280,pDCs,sample1,CL:0000123
Cell281,Cell281,Ductal_MHC_Class_II,sample1,CL:0000064
Cell282,Cell282,Macrophages_B,sample1,CL:0000766
Cell283,Cell283,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell284,Cell284,Cancer_clone_A,sample1,CL:0000322
Cell285,Cell285,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell286,Cell286,Ductal_MHC_Class_II,sample1,CL:0000322
Cell287,Cell287,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell288,Cell288,Tuft_cells,sample1,CL:0000151
Cell289,Cell289,Ductal_MHC_Class_II,sample1,CL:0000151
Cell290,Cell290,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell291,Cell291,Cancer_clone_A,sample1,CL:0000322
Cell292,Cell292,Ductal_MHC_Class_II,sample1,CL:0000123
Cell293,Cell293,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell294,Cell294,mDCs_A,sample1,CL:0000123
Cell295,Cell295,T_cells_&_NK_cells,sample1,CL:0000123
Cell296,Cell296,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell297,Cell297,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell298,Cell298,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell299,Cell299,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell300,Cell300,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell301,Cell301,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell302,Cell302,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell303,Cell303,Cancer_clone_B,sample1,CL:0000322
Cell304,Cell304,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell305,Cell305,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell306,Cell306,Tuft_cells,sample1,CL:0000151
Cell307,Cell307,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell308,Cell308,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell309,Cell309,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell310,Cell310,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell311,Cell311,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell312,Cell312,Ductal_MHC_Class_II,sample1,CL:0000322
Cell313,Cell313,Cancer_clone_B,sample1,CL:0000064
Cell314,Cell314,Cancer_clone_A,sample1,CL:0000322
Cell315,Cell315,Ductal_terminal_ductal_like,sample1,CL:0000064
Cell316,Cell316,Macrophages_A,sample1,CL:0002150
Cell317,Cell317,Ductal_MHC_Class_II,sample1,CL:0000064
Cell318,Cell318,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell319,Cell319,Ductal_MHC_Class_II,sample1,CL:0000126
Cell320,Cell320,Ductal_MHC_Class_II,sample1,CL:0000064
Cell321,Cell321,Monocytes,sample1,CL:0000766
Cell322,Cell322,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell323,Cell323,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell324,Cell324,T_cells_&_NK_cells,sample1,CL:0000151
Cell325,Cell325,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell326,Cell326,Ductal_APOL1_high-hypoxic,sample1,CL:0000064
Cell327,Cell327,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell328,Cell328,mDCs_B,sample1,CL:0002150
Cell329,Cell329,T_cells_&_NK_cells,sample1,CL:0002436
Cell330,Cell330,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell331,Cell331,T_cells_&_NK_cells,sample1,CL:2000054
Cell332,Cell332,Cancer_clone_A,sample1,CL:0000322
Cell333,Cell333,Ductal_APOL1_high-hypoxic,sample1,CL:0000126
Cell334,Cell334,Cancer_clone_B,sample1,CL:0000322
Cell335,Cell335,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell336,Cell336,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell337,Cell337,Cancer_clone_B,sample1,CL:0000322
Cell338,Cell338,Cancer_clone_A,sample1,CL:0000322
Cell339,Cell339,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell340,Cell340,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell341,Cell341,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell342,Cell342,Ductal_MHC_Class_II,sample1,CL:0000126
Cell343,Cell343,T_cells_&_NK_cells,sample1,CL:2000054
Cell344,Cell344,Cancer_clone_B,sample1,CL:0000071
Cell345,Cell345,T_cells_&_NK_cells,sample1,CL:0000151
Cell346,Cell346,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell347,Cell347,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell348,Cell348,Cancer_clone_A,sample1,CL:0000322
Cell349,Cell349,Ductal_MHC_Class_II,sample1,CL:0000322
Cell350,Cell350,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell351,Cell351,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell352,Cell352,Ductal_MHC_Class_II,sample1,CL:0000126
Cell353,Cell353,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell354,Cell354,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell355,Cell355,RBCs,sample1,CL:0000322
Cell356,Cell356,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell357,Cell357,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell358,Cell358,T_cells_&_NK_cells,sample1,CL:0000151
Cell359,Cell359,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell360,Cell360,Monocytes,sample1,CL:0002150
Cell361,Cell361,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell362,Cell362,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell363,Cell363,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell364,Cell364,Cancer_clone_A,sample1,CL:0000322
Cell365,Cell365,pDCs,sample1,CL:0002150
Cell366,Cell366,Cancer_clone_B,sample1,CL:0000322
Cell367,Cell367,Monocytes,sample1,CL:0000123
Cell368,Cell368,Ductal_MHC_Class_II,sample1,CL:0000322
Cell369,Cell369,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell370,Cell370,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell371,Cell371,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell372,Cell372,RBCs,sample1,CL:0000071
Cell373,Cell373,RBCs,sample1,CL:0000071
Cell374,Cell374,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell375,Cell375,Cancer_clone_A,sample1,CL:0000540
Cell376,Cell376,Cancer_clone_A,sample1,CL:0000151
Cell377,Cell377,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell378,Cell378,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell379,Cell379,Cancer_clone_B,sample1,CL:0000151
Cell380,Cell380,Cancer_clone_A,sample1,CL:0000322
Cell381,Cell381,Ductal_terminal_ductal_like,sample1,CL:0000126
Cell382,Cell382,Cancer_clone_B,sample1,CL:0000151
Cell383,Cell383,Ductal_MHC_Class_II,sample1,CL:0000151
Cell384,Cell384,Cancer_clone_A,sample1,CL:0000322
